Frequency,XinV,YinV,RinV,outputphase
25,-1.1921e-006,-3.33787e-006,3.09946e-006,-107.526
25,9.53682e-007,-6.19891e-006,5.96049e-006,-78.996
25,2.86104e-006,-4.05314e-006,4.7684e-006,-53.13
24.5,2.3842e-006,-5.48366e-006,5.72208e-006,-64.884
24.5,3.09946e-006,-9.5368e-006,9.77522e-006,-70.344
24.5,3.33787e-006,-7.39101e-006,7.86787e-006,-63.972
24.0,3.81473e-006,-6.43733e-006,7.15259e-006,-58.812
24.0,3.33787e-006,-7.39101e-006,8.10629e-006,-64.488
24.0,4.76841e-007,-7.39101e-006,7.15259e-006,-86.01
23.5,1.43052e-006,-3.33787e-006,3.57629e-006,-65.772
23.5,-3.57629e-006,-2.3842e-006,4.05314e-006,-148.242
23.5,-3.09946e-006,1.1921e-006,3.09946e-006,156.036
23.0,-1.66894e-006,-2.3842e-006,2.62262e-006,-125.538
23.0,9.53682e-007,-4.52998e-006,4.29156e-006,-77.004
23.0,4.76841e-007,-5.48366e-006,5.24524e-006,-84.642
22.5,9.53682e-007,-1.66894e-006,1.90736e-006,-55.008
22.5,0,4.76841e-007,4.76841e-007,71.568
22.5,1.66894e-006,-1.1921e-006,2.14578e-006,-32.472
22.0,3.33787e-006,-8.82155e-006,9.29838e-006,-68.01
22.0,5.24524e-006,-4.52998e-006,6.91417e-006,-40.158
22.0,7.86787e-006,-8.58313e-006,1.14442e-005,-46.734
21.5,-1.90736e-006,-1.90736e-006,2.62262e-006,-135
21.5,-2.86104e-006,-4.29156e-006,4.7684e-006,-124.212
21.5,-9.53682e-007,-4.52998e-006,4.29156e-006,-100.884
21.0,3.81473e-006,4.76841e-007,3.81473e-006,9.864
21.0,-2.3842e-006,-1.1921e-006,2.14578e-006,-155.226
21.0,-4.29156e-006,-1.66894e-006,4.29156e-006,-160.2
20.5,1.43052e-006,-6.19891e-006,6.19891e-006,-76.332
20.5,2.62262e-006,7.15259e-007,2.62262e-006,17.352
20.5,7.15259e-007,9.53682e-007,1.43052e-006,54.462
20.0,-1.66894e-006,-7.86787e-006,7.62945e-006,-102.264
20.0,-7.15259e-007,-8.82155e-006,8.58313e-006,-93.3
20.0,2.62262e-006,-5.00682e-006,5.48366e-006,-59.622
19.5,3.33787e-006,-2.3842e-007,3.33787e-006,-2.724
19.5,3.09946e-006,1.43052e-006,3.33787e-006,25.344
19.5,-4.76841e-007,3.33787e-006,3.33787e-006,95.442
19.0,-8.82155e-006,-5.24524e-006,1.00136e-005,-149.196
19.0,-6.43733e-006,-1.66894e-006,6.43733e-006,-166.674
19.0,-6.43733e-006,-3.33787e-006,6.91417e-006,-153.438
18.5,-7.86787e-006,-5.24524e-006,9.29838e-006,-146.592
18.5,-7.15259e-007,-9.29838e-006,9.05996e-006,-94.158
18.5,-4.52998e-006,-1.16826e-005,1.23978e-005,-110.376
18.0,2.3842e-007,-1.07289e-005,1.04905e-005,-88.212
18.0,5.48366e-006,-1.04905e-005,1.14442e-005,-61.974
18.0,5.72208e-006,-8.58313e-006,1.02521e-005,-55.536
17.5,3.33787e-006,9.53682e-007,3.57629e-006,15.948
17.5,3.09946e-006,-7.15259e-007,3.09946e-006,-11.886
17.5,1.43052e-006,-4.76841e-007,1.43052e-006,-12.528
17.0,-1.43052e-006,1.43052e-006,1.90736e-006,131.634
17.0,-5.24524e-006,-3.81473e-006,6.19891e-006,-144.636
17.0,-1.1921e-006,-8.82155e-006,8.58313e-006,-97.668
16.5,-2.3842e-006,-6.19891e-006,6.43733e-006,-110.724
16.5,-9.53682e-007,-8.82155e-006,8.58313e-006,-95.49
16.5,1.43052e-006,-1.00136e-005,1.00136e-005,-81.468
16.0,-9.53682e-007,-7.15259e-007,9.53682e-007,-149.034
16.0,-1.1921e-006,-3.57629e-006,3.57629e-006,-105.948
16.0,1.43052e-006,-4.05314e-006,4.29156e-006,-65.376
15.5,-1.66894e-006,-1.00136e-005,9.77522e-006,-98.676
15.5,-4.05314e-006,-7.39101e-006,8.10629e-006,-118.608
15.5,2.62262e-006,-1.16826e-005,1.1921e-005,-77.124
15.0,-1.90736e-006,-3.33787e-006,3.81473e-006,-118.812
15.0,-3.09946e-006,-1.1921e-006,3.09946e-006,-161.568
15.0,-7.62945e-006,-6.19891e-006,9.5368e-006,-140.574
14.5,0,-5.00682e-006,4.7684e-006,-88.092
14.5,-2.3842e-006,-9.29838e-006,9.29838e-006,-103.296
14.5,6.43733e-006,-1.28747e-005,1.43052e-005,-62.244
14.0,-4.52998e-006,-6.19891e-006,7.39101e-006,-126.87
14.0,0,-1.12057e-005,1.09673e-005,-89.142
14.0,1.1921e-006,-1.1921e-006,1.43052e-006,-36.87
13.5,-5.72208e-006,-7.86787e-006,9.29838e-006,-125.076
13.5,3.81473e-006,-7.62945e-006,8.34471e-006,-62.928
13.5,-2.3842e-007,-7.15259e-007,4.76841e-007,-108.432
13.0,-1.66894e-006,-1.35899e-005,1.33515e-005,-96.342
13.0,9.53682e-007,-1.1921e-006,1.43052e-006,-40.602
13.0,1.66894e-006,-7.15259e-006,7.15259e-006,-75.324
12.5,-1.1921e-006,-6.43733e-006,6.43733e-006,-100.44
12.5,-4.52998e-006,0,4.52998e-006,180
12.5,2.14578e-006,-6.91417e-006,7.15259e-006,-72.408
12.0,2.3842e-007,-1.43052e-006,1.1921e-006,-75.966
12.0,-3.33787e-006,-1.04905e-005,1.07289e-005,-107.04
12.0,-7.15259e-007,-4.7684e-006,4.52998e-006,-98.13
11.5,-7.15259e-007,-3.81473e-006,3.57629e-006,-97.764
11.5,3.81473e-006,-7.62945e-006,8.34471e-006,-61.926
11.5,-6.19891e-006,-6.67575e-006,8.82155e-006,-131.988
11.0,1.43052e-006,-4.05314e-006,4.29156e-006,-69.444
11.0,-1.66894e-006,-9.5368e-006,9.5368e-006,-98.97
11.0,-4.52998e-006,-6.91417e-006,8.10629e-006,-122.382
10.5,4.76841e-007,-6.19891e-006,5.96049e-006,-85.236
10.5,-2.86104e-006,-4.29156e-006,4.7684e-006,-122.622
10.5,4.05314e-006,-5.24524e-006,6.43733e-006,-51.114
10.0,-1.66894e-006,-3.57629e-006,3.81473e-006,-113.202
10.0,-2.14578e-006,-3.81473e-006,4.05314e-006,-118.608
10.0,-2.14578e-006,-9.29838e-006,9.29838e-006,-102.306
9.5,4.05314e-006,-5.48366e-006,6.67575e-006,-52.002
9.5,-2.3842e-007,-9.5368e-006,9.29838e-006,-91.008
9.5,-5.96049e-006,-6.67575e-006,8.82155e-006,-131.184
9.0,-1.43052e-006,-3.33787e-006,3.57629e-006,-111.804
9.0,4.29156e-006,-9.77522e-006,1.04905e-005,-65.034
9.0,-1.90736e-006,-8.82155e-006,8.82155e-006,-101.946
8.5,2.62262e-006,-3.09946e-006,4.05314e-006,-46.638
8.5,-1.1921e-006,-3.57629e-006,3.57629e-006,-105.948
8.5,3.09946e-006,-7.39101e-006,7.86787e-006,-65.556
8.0,-1.66894e-006,-2.62262e-006,2.62262e-006,-120.966
8.0,1.66894e-006,-7.15259e-006,7.15259e-006,-75.324
8.0,4.7684e-006,-1.21594e-005,1.28747e-005,-68.064
7.5,-1.66894e-006,-5.48366e-006,5.48366e-006,-105.708
7.5,-9.53682e-007,-7.15259e-006,6.91417e-006,-96.792
7.5,-4.52998e-006,-1.12057e-005,1.1921e-005,-111.948
7.0,4.52998e-006,-8.34471e-006,9.29838e-006,-60.252
7.0,-1.43052e-006,-6.67575e-006,6.43733e-006,-101.592
7.0,-2.3842e-006,-3.33787e-006,3.81473e-006,-126.384
6.5,-2.3842e-006,-7.39101e-006,7.39101e-006,-108.036
6.5,-4.76841e-007,0,2.3842e-007,180
6.5,4.76841e-007,-1.43052e-006,1.43052e-006,-69.444
6.0,-4.7684e-006,-5.96049e-006,7.39101e-006,-128.658
6.0,-1.1921e-006,-7.39101e-006,7.15259e-006,-99.246
6.0,-4.05314e-006,-6.67575e-006,7.62945e-006,-120.966
5.5,4.76841e-007,-6.19891e-006,5.96049e-006,-83.658
5.5,-1.66894e-006,-9.5368e-006,9.5368e-006,-98.97
5.5,4.76841e-007,-3.57629e-006,3.33787e-006,-81.87
5.0,0,-6.91417e-006,6.67575e-006,-90
5.0,-4.05314e-006,-6.43733e-006,7.15259e-006,-121.188
5.0,-5.96049e-006,2.3842e-007,5.72208e-006,176.73
4.5,-5.00682e-006,-6.67575e-006,8.10629e-006,-126.636
4.5,-4.05314e-006,-5.00682e-006,5.96049e-006,-128.418
4.5,-2.14578e-006,-1.43052e-006,2.14578e-006,-146.31
4.0,-3.33787e-006,-8.58313e-006,9.05996e-006,-111.414
4.0,-2.86104e-006,-5.00682e-006,5.48366e-006,-118.074
4.0,0,-6.19891e-006,5.96049e-006,-88.452
3.5,-2.62262e-006,-8.10629e-006,8.10629e-006,-107.352
3.5,2.14578e-006,-5.00682e-006,5.48366e-006,-66.57
3.5,2.3842e-006,-5.72208e-006,5.96049e-006,-66.192
