XinV,YinV,RinV,outputphase
2.76567e-005,0.000282289,0.000283243,84.342
3.24252e-005,0.00028515,0.000287058,83.334
3.81472e-005,0.000280382,0.000283243,82.158
3.05178e-005,0.000277521,0.000279428,83.568
2.19346e-005,0.000275614,0.000276567,85.44
2.86103e-005,0.000281336,0.000283243,84.198
3.52862e-005,0.000283243,0.00028515,82.89
3.14715e-005,0.000286104,0.000288012,83.628
3.24252e-005,0.000278475,0.000280382,83.178
2.86103e-005,0.000280382,0.000282289,84.048
3.24252e-005,0.00028515,0.000287058,83.352
3.62399e-005,0.000278475,0.000280382,82.506
2.3842e-005,0.000277521,0.000278475,85.062
3.52862e-005,0.000283243,0.00028515,82.758
2.76567e-005,0.00028515,0.000286104,84.396
3.05178e-005,0.000282289,0.000283243,83.808
3.52862e-005,0.000278475,0.000280382,82.656
3.05178e-005,0.000277521,0.000279428,83.706
2.6703e-005,0.000277521,0.000278475,84.384
2.47956e-005,0.000287058,0.000288965,84.972
3.52862e-005,0.000283243,0.00028515,82.908
2.9564e-005,0.000278475,0.000279428,83.856
2.3842e-005,0.000271799,0.000272753,84.954
2.57493e-005,0.000280382,0.000282289,84.582
2.9564e-005,0.000283243,0.00028515,83.97
2.76567e-005,0.00028515,0.000286104,84.396
3.33788e-005,0.000283243,0.00028515,83.16
3.24252e-005,0.000273706,0.000276567,83.22
2.3842e-005,0.000280382,0.000282289,84.99
2.86103e-005,0.000287058,0.000288012,84.174
3.71935e-005,0.00028515,0.000287058,82.416
3.81472e-005,0.000279428,0.000282289,82.14
3.33788e-005,0.000273706,0.000276567,82.944
2.76567e-005,0.000276567,0.000278475,84.234
3.24252e-005,0.000283243,0.00028515,83.292
3.43325e-005,0.000282289,0.000284197,83.01
3.71935e-005,0.000280382,0.000283243,82.29
2.47956e-005,0.000276567,0.000277521,84.768
2.57493e-005,0.000280382,0.000282289,84.582
2.57493e-005,0.000282289,0.000283243,84.612
2.86103e-005,0.000289919,0.000290873,84.354
3.43325e-005,0.000277521,0.000279428,82.89
2.86103e-005,0.000273706,0.000275614,83.904
2.19346e-005,0.000280382,0.000281336,85.53
2.9564e-005,0.000282289,0.000283243,83.94
3.33788e-005,0.000282289,0.000284197,83.142
3.24252e-005,0.000275614,0.000277521,83.25
3.24252e-005,0.000278475,0.000280382,83.316
2.57493e-005,0.000280382,0.000281336,84.57
2.86103e-005,0.000284197,0.00028515,84.12
3.05178e-005,0.000282289,0.000283243,83.808
3.81472e-005,0.000283243,0.00028515,82.23
3.62399e-005,0.000276567,0.000279428,82.47
2.6703e-005,0.000280382,0.000282289,84.45
3.05178e-005,0.000282289,0.000284197,83.676
3.24252e-005,0.000277521,0.000279428,83.16
2.86103e-005,0.000273706,0.00027466,84.024
3.05178e-005,0.000272753,0.00027466,83.598
2.57493e-005,0.000277521,0.000278475,84.522
2.86103e-005,0.00028515,0.000287058,84.276
3.52862e-005,0.000290873,0.00029278,82.956
3.52862e-005,0.000279428,0.000281336,82.674
3.05178e-005,0.000272753,0.00027466,83.598
2.3842e-005,0.000277521,0.000278475,84.93
3.05178e-005,0.000283243,0.00028515,83.688
3.24252e-005,0.000288965,0.000290873,83.43
3.91009e-005,0.000281336,0.000284197,82.062
2.9564e-005,0.000273706,0.00027466,83.754
2.19346e-005,0.000272753,0.000273706,85.26
2.86103e-005,0.000280382,0.000281336,84.168
2.9564e-005,0.000287058,0.000288012,84.036
3.81472e-005,0.000278475,0.000280382,82.098
3.43325e-005,0.000276567,0.000278475,82.86
2.9564e-005,0.000278475,0.000279428,83.856
2.57493e-005,0.000280382,0.000281336,84.708
2.86103e-005,0.000284197,0.00028515,84.252
3.24252e-005,0.000286104,0.000288012,83.37
3.52862e-005,0.000276567,0.000278475,82.602
2.86103e-005,0.000280382,0.000282289,84.18
2.86103e-005,0.000277521,0.000278475,84.114
2.6703e-005,0.00028515,0.000286104,84.528
3.24252e-005,0.000288012,0.000289919,83.544
3.62399e-005,0.000275614,0.000278475,82.434
3.52862e-005,0.000273706,0.000276567,82.53
2.86103e-005,0.00027466,0.000276567,83.916
2.57493e-005,0.000278475,0.000280382,84.546
3.14715e-005,0.000284197,0.000286104,83.586
3.71935e-005,0.00028515,0.000287058,82.416
3.71935e-005,0.000278475,0.000280382,82.236
3.14715e-005,0.000278475,0.000280382,83.466
2.19346e-005,0.000276567,0.000276567,85.32
2.57493e-005,0.000283243,0.00028515,84.768
2.86103e-005,0.000284197,0.00028515,84.12
3.71935e-005,0.00028515,0.000288012,82.56
3.14715e-005,0.000280382,0.000283243,83.508
2.6703e-005,0.000280382,0.000281336,84.438
2.86103e-005,0.000276567,0.000277521,83.946
2.9564e-005,0.000281336,0.000283243,83.928
3.05178e-005,0.000287058,0.000288965,83.778
3.43325e-005,0.000283243,0.00028515,83.04
3.33788e-005,0.000273706,0.000276567,82.944
3.05178e-005,0.000276567,0.000278475,83.556
2.57493e-005,0.00028515,0.000286104,84.792
3.05178e-005,0.000287058,0.000289919,83.79
3.71935e-005,0.000290873,0.000293734,82.566
3.43325e-005,0.000279428,0.000281336,82.944
3.05178e-005,0.00027466,0.000276567,83.508
3.24252e-005,0.000275614,0.000277521,83.25
2.86103e-005,0.000281336,0.000283243,84.06
2.3842e-005,0.000289919,0.000291826,85.146
3.33788e-005,0.000278475,0.000280382,83.058
3.71935e-005,0.000278475,0.000281336,82.386
3.62399e-005,0.000269892,0.000272753,82.284
2.47956e-005,0.000273706,0.00027466,84.72
2.28883e-005,0.00028515,0.00028515,85.326
2.86103e-005,0.000284197,0.00028515,84.12
3.24252e-005,0.00028515,0.000287058,83.352
3.14715e-005,0.000277521,0.000279428,83.43
3.24252e-005,0.000279428,0.000281336,83.208
2.6703e-005,0.000277521,0.000278475,84.384
2.19346e-005,0.000279428,0.000280382,85.374
2.86103e-005,0.000286104,0.000287058,84.288
3.24252e-005,0.000280382,0.000283243,83.244
3.43325e-005,0.000277521,0.000279428,82.89
3.52862e-005,0.000279428,0.000281336,82.674
3.14715e-005,0.000271799,0.000273706,83.304
2.6703e-005,0.000278475,0.000280382,84.414
3.05178e-005,0.00028515,0.000287058,83.88
3.05178e-005,0.000287058,0.000288012,83.91
3.52862e-005,0.00028515,0.000287058,82.956
3.62399e-005,0.000278475,0.000281336,82.518
2.9564e-005,0.000280382,0.000281336,83.898
2.86103e-005,0.000276567,0.000277521,83.946
2.57493e-005,0.000283243,0.000284197,84.756
2.6703e-005,0.000288012,0.000289919,84.588
3.71935e-005,0.000283243,0.00028515,82.494
