XinV,YinV,RinV,outputphase
1.71663e-005,0.000284197,0.000284674,86.514
1.81199e-005,0.000283958,0.000284435,86.304
1.71663e-005,0.000283482,0.000283958,86.502
1.88352e-005,0.000283482,0.000283958,86.166
2.14578e-005,0.000288488,0.000289442,85.71
1.85968e-005,0.000287296,0.000288012,86.286
1.69278e-005,0.000281813,0.000282289,86.514
1.85968e-005,0.000282289,0.000283005,86.22
1.83583e-005,0.000283243,0.000283958,86.262
1.43052e-005,0.000280859,0.000281097,87.048
1.69278e-005,0.000281813,0.000282289,86.55
1.74047e-005,0.000280144,0.000280621,86.43
1.69278e-005,0.000282528,0.000283005,86.526
1.54973e-005,0.000281813,0.000282289,86.85
1.78815e-005,0.000282289,0.000282766,86.352
1.74047e-005,0.000284197,0.000284674,86.478
1.74047e-005,0.000284674,0.00028515,86.484
1.9312e-005,0.000283482,0.000283958,86.1
1.9312e-005,0.000283958,0.000284674,86.076
1.88352e-005,0.000283958,0.000284674,86.172
1.85968e-005,0.000283005,0.00028372,86.226
2.00273e-005,0.000283243,0.000283958,85.926
1.95504e-005,0.000284197,0.000284912,86.046
1.97889e-005,0.000283243,0.000283958,85.962
1.90736e-005,0.000281097,0.000281813,86.1
1.81199e-005,0.000281097,0.000281813,86.304
1.9312e-005,0.000281336,0.000282051,86.04
1.76431e-005,0.000281574,0.000282051,86.376
1.54973e-005,0.000279905,0.000280382,86.832
1.71663e-005,0.000280621,0.000281097,86.466
1.69278e-005,0.000282528,0.000283005,86.556
1.78815e-005,0.000283243,0.00028372,86.364
1.81199e-005,0.000283958,0.000284435,86.34
1.81199e-005,0.000284912,0.000285627,86.358
1.97889e-005,0.000283958,0.000284435,86.004
1.90736e-005,0.000282289,0.000283005,86.118
1.81199e-005,0.000282766,0.000283482,86.292
1.74047e-005,0.000287058,0.000287535,86.514
1.74047e-005,0.000283958,0.000284435,86.478
1.85968e-005,0.00027776,0.000278475,86.124
2.14578e-005,0.000284435,0.00028515,85.68
1.35899e-005,0.000285389,0.000285627,87.258
1.21594e-005,0.000281097,0.000281336,87.522
1.50204e-005,0.000281574,0.000281813,86.916
1.81199e-005,0.000282289,0.000283005,86.286
1.90736e-005,0.000283482,0.000283958,86.13
2.00273e-005,0.00028372,0.000284435,85.938
1.9312e-005,0.000283482,0.000283958,86.1
1.69278e-005,0.000284197,0.000284674,86.544
1.31131e-005,0.000283958,0.000284197,87.312
1.59742e-005,0.000284435,0.000284912,86.748
1.83583e-005,0.000283482,0.000283958,86.268
1.9312e-005,0.000281813,0.000282528,86.076
1.85968e-005,0.000282766,0.000283482,86.19
1.9312e-005,0.000283005,0.00028372,86.064
1.76431e-005,0.000283958,0.000284435,86.412
1.57357e-005,0.000284674,0.00028515,86.82
1.81199e-005,0.000282289,0.000283005,86.286
1.76431e-005,0.000282528,0.000283005,86.424
1.69278e-005,0.000283005,0.000283482,86.562
1.69278e-005,0.000282766,0.000283243,86.526
1.71663e-005,0.000283243,0.00028372,86.502
1.59742e-005,0.000284435,0.000284912,86.778
1.81199e-005,0.00028515,0.000285866,86.322
1.83583e-005,0.000283482,0.000284197,86.268
1.81199e-005,0.000282528,0.000283243,86.286
1.83583e-005,0.000283482,0.000283958,86.268
1.76431e-005,0.000283243,0.00028372,86.43
1.97889e-005,0.000280144,0.000280859,85.92
2.16962e-005,0.000277998,0.000278952,85.512
2.00273e-005,0.000283958,0.000284435,85.938
1.69278e-005,0.000282766,0.000283482,86.562
1.57357e-005,0.000281336,0.000281813,86.778
1.76431e-005,0.000282289,0.000282766,86.388
1.85968e-005,0.000283482,0.000284197,86.202
1.78815e-005,0.000284197,0.000284674,86.376
1.90736e-005,0.000283005,0.00028372,86.13
1.85968e-005,0.000282766,0.000283482,86.226
1.81199e-005,0.000281813,0.000282528,86.28
1.88352e-005,0.000281336,0.000282051,86.136
1.81199e-005,0.000282289,0.000283005,86.322
1.71663e-005,0.000282289,0.000282766,86.49
1.78815e-005,0.000283243,0.00028372,86.364
1.83583e-005,0.000283243,0.000283958,86.262
1.83583e-005,0.00028515,0.000285866,86.292
1.6451e-005,0.000285627,0.000286104,86.658
1.88352e-005,0.000283482,0.000284197,86.166
1.97889e-005,0.000282289,0.000283005,85.986
1.78815e-005,0.000283005,0.000283482,86.364
1.66894e-005,0.000283958,0.000284435,86.61
1.66894e-005,0.000281097,0.000281813,86.574
1.74047e-005,0.000281813,0.000282289,86.448
1.69278e-005,0.000283482,0.000283958,86.538
1.54973e-005,0.000283005,0.000283482,86.832
1.69278e-005,0.000281813,0.000282289,86.514
1.81199e-005,0.000283482,0.000284197,86.304
1.81199e-005,0.00028515,0.000285866,86.322
1.66894e-005,0.000281813,0.000282289,86.586
1.54973e-005,0.000272991,0.000273468,86.718
1.76431e-005,0.000278952,0.000279428,86.376
1.69278e-005,0.000280859,0.000281336,86.502
1.76431e-005,0.000280621,0.000281097,86.364
1.83583e-005,0.000279428,0.000280144,86.214
1.78815e-005,0.000281336,0.000281813,86.34
1.59742e-005,0.000282766,0.000283243,86.73
1.50204e-005,0.000281813,0.000282289,86.922
1.54973e-005,0.000281097,0.000281813,86.844
1.85968e-005,0.000282528,0.000283243,86.22
1.62126e-005,0.000282766,0.000283243,86.694
1.57357e-005,0.000282289,0.000282766,86.79
1.54973e-005,0.000281574,0.000282051,86.814
1.90736e-005,0.000282766,0.000283482,86.124
1.76431e-005,0.000284197,0.000284674,86.412
1.69278e-005,0.000282289,0.000282766,86.556
1.83583e-005,0.000282051,0.000282766,86.25
1.95504e-005,0.000282528,0.000283243,86.022
1.81199e-005,0.000283243,0.000283958,86.298
1.76431e-005,0.000282766,0.000283482,86.43
1.85968e-005,0.000282289,0.000283005,86.22
1.81199e-005,0.000282766,0.000283482,86.292
1.88352e-005,0.000282766,0.000283482,86.154
1.81199e-005,0.000282051,0.000282766,86.28
1.9312e-005,0.000281574,0.000282289,86.076
2.05041e-005,0.000283005,0.000283958,85.824
1.78815e-005,0.000282766,0.000283243,86.358
1.14442e-005,0.000280382,0.000280621,87.618
1.59742e-005,0.000280621,0.000281097,86.736
1.76431e-005,0.000281574,0.000282051,86.376
1.83583e-005,0.000282289,0.000282766,86.25
1.66894e-005,0.000281336,0.000281813,86.58
1.76431e-005,0.000282766,0.000283243,86.424
1.88352e-005,0.00028372,0.000284435,86.172
1.74047e-005,0.00028515,0.000285627,86.49
1.83583e-005,0.000284197,0.000284912,86.28
1.76431e-005,0.000283243,0.00028372,86.43
1.71663e-005,0.000283482,0.000283958,86.502
1.62126e-005,0.000283243,0.00028372,86.7
1.6451e-005,0.000280621,0.000281097,86.634
1.69278e-005,0.000281097,0.000281574,86.508
1.88352e-005,0.000282289,0.000282766,86.148
1.85968e-005,0.000282289,0.000282766,86.184
1.59742e-005,0.000280621,0.000281097,86.7
1.74047e-005,0.000279667,0.000280144,86.424
1.9312e-005,0.000281336,0.000282051,86.07
1.81199e-005,0.000283005,0.00028372,86.298
1.76431e-005,0.000283482,0.000283958,86.4
1.81199e-005,0.000282289,0.000283005,86.286
1.85968e-005,0.000281097,0.000281813,86.202
1.74047e-005,0.000282289,0.000282766,86.454
1.74047e-005,0.000282528,0.000283005,86.46
1.6451e-005,0.000280859,0.000281336,86.604
1.76431e-005,0.000278236,0.000278713,86.334
1.90736e-005,0.000280621,0.000281097,86.094
1.74047e-005,0.000284435,0.000284912,86.484
1.45436e-005,0.000283958,0.000284435,87.048
1.62126e-005,0.000283005,0.000283482,86.7
1.90736e-005,0.000282766,0.000283482,86.124
1.9312e-005,0.000282766,0.000283482,86.088
1.81199e-005,0.000282766,0.000283482,86.292
1.81199e-005,0.000280859,0.000281574,86.268
1.78815e-005,0.000280621,0.000281097,86.328
1.85968e-005,0.000283243,0.000283958,86.196
1.85968e-005,0.000283958,0.000284674,86.244
1.66894e-005,0.000281336,0.000281813,86.58
1.88352e-005,0.000281097,0.000281813,86.136
1.9312e-005,0.000282289,0.000282766,86.052
1.83583e-005,0.000281813,0.000282289,86.244
1.6451e-005,0.000282289,0.000282766,86.622
1.69278e-005,0.000280621,0.000281097,86.538
1.85968e-005,0.000281813,0.000282528,86.178
1.9312e-005,0.000283482,0.000284197,86.1
1.69278e-005,0.00028372,0.000284197,86.574
1.76431e-005,0.000282766,0.000283482,86.394
1.85968e-005,0.000280859,0.000281574,86.166
1.97889e-005,0.000281336,0.000282051,85.968
1.78815e-005,0.000283482,0.000283958,86.37
1.62126e-005,0.00028372,0.000284197,86.706
1.62126e-005,0.000282766,0.000283243,86.694
1.76431e-005,0.000282051,0.000282528,86.418
1.90736e-005,0.000282766,0.000283482,86.124
1.78815e-005,0.000285389,0.000285866,86.394
1.59742e-005,0.000288727,0.000289204,86.832
1.66894e-005,0.000283482,0.000283958,86.604
1.90736e-005,0.000282766,0.000283482,86.124
1.83583e-005,0.000282528,0.000283243,86.256
1.76431e-005,0.000283005,0.000283482,86.4
1.6451e-005,0.000282528,0.000283005,86.658
1.6451e-005,0.000283005,0.000283482,86.634
1.76431e-005,0.000282528,0.000283005,86.424
1.83583e-005,0.000282289,0.000283005,86.25
1.83583e-005,0.000282289,0.000283005,86.25
1.71663e-005,0.000280859,0.000281336,86.472
1.6451e-005,0.000279905,0.000280382,86.628
1.83583e-005,0.000280144,0.000280859,86.226
1.97889e-005,0.000281813,0.000282528,85.98
1.97889e-005,0.00028372,0.000284435,86.004
1.9312e-005,0.000282051,0.000282766,86.082
1.74047e-005,0.000281574,0.000282051,86.442
1.76431e-005,0.000280621,0.000281097,86.4
1.97889e-005,0.000280382,0.000281097,85.956
