XinV,YinV,RinV,outputphase
3.62399e-005,0.000282289,0.00028515,82.608
3.81472e-005,0.000280382,0.000283243,82.176
3.62399e-005,0.00028515,0.000287058,82.674
3.81472e-005,0.00028515,0.000288012,82.302
3.71935e-005,0.000282289,0.00028515,82.476
3.81472e-005,0.000283243,0.000286104,82.248
3.52862e-005,0.000281336,0.000283243,82.86
3.71935e-005,0.000277521,0.000280382,82.35
3.71935e-005,0.000277521,0.000280382,82.35
3.52862e-005,0.000280382,0.000282289,82.692
3.62399e-005,0.000279428,0.000282289,82.536
3.43325e-005,0.000278475,0.000280382,82.926
3.62399e-005,0.000276567,0.000278475,82.452
3.14715e-005,0.000279428,0.000280382,83.466
3.52862e-005,0.000280382,0.000283243,82.842
3.33788e-005,0.000278475,0.000280382,83.046
3.43325e-005,0.000280382,0.000282289,82.956
3.33788e-005,0.000279428,0.000281336,83.076
3.14715e-005,0.000278475,0.000280382,83.448
3.24252e-005,0.00028515,0.000287058,83.466
3.14715e-005,0.000278475,0.000280382,83.466
3.05178e-005,0.000280382,0.000282289,83.628
3.05178e-005,0.000282289,0.000284197,83.676
2.76567e-005,0.000283243,0.000284197,84.36
2.86103e-005,0.000280382,0.000282289,84.048
3.05178e-005,0.000283243,0.00028515,83.706
3.05178e-005,0.000284197,0.000286104,83.718
3.05178e-005,0.000283243,0.00028515,83.688
3.05178e-005,0.00028515,0.000287058,83.88
3.05178e-005,0.00028515,0.000287058,83.736
3.05178e-005,0.00028515,0.000287058,83.88
2.9564e-005,0.00028515,0.000287058,84.012
3.24252e-005,0.00028515,0.000287058,83.466
3.14715e-005,0.000283243,0.00028515,83.574
3.24252e-005,0.000287058,0.000288965,83.514
3.43325e-005,0.00028515,0.000287058,83.088
3.62399e-005,0.00028515,0.000287058,82.674
3.33788e-005,0.000283243,0.00028515,83.172
3.33788e-005,0.000287058,0.000288965,83.25
3.62399e-005,0.000287058,0.000289919,82.746
3.71935e-005,0.000283243,0.000286104,82.512
3.71935e-005,0.000286104,0.000288965,82.578
3.62399e-005,0.000287058,0.000288965,82.728
3.71935e-005,0.000283243,0.00028515,82.494
3.71935e-005,0.000286104,0.000288965,82.446
3.62399e-005,0.000284197,0.000287058,82.662
3.91009e-005,0.000281336,0.000284197,81.93
3.71935e-005,0.000281336,0.000284197,82.458
3.43325e-005,0.000280382,0.000283243,82.974
3.71935e-005,0.000280382,0.000283243,82.422
3.81472e-005,0.000282289,0.00028515,82.212
3.91009e-005,0.000280382,0.000283243,82.026
3.43325e-005,0.000278475,0.000280382,82.908
3.62399e-005,0.000282289,0.00028515,82.608
3.71935e-005,0.000280382,0.000283243,82.29
3.71935e-005,0.000280382,0.000283243,82.422
3.71935e-005,0.000278475,0.000280382,82.368
3.81472e-005,0.000278475,0.000280382,82.098
3.71935e-005,0.000278475,0.000280382,82.236
3.71935e-005,0.000279428,0.000282289,82.404
3.52862e-005,0.000278475,0.000280382,82.788
3.71935e-005,0.000280382,0.000283243,82.29
3.33788e-005,0.000277521,0.000279428,83.028
3.33788e-005,0.000273706,0.000276567,82.944
3.52862e-005,0.000280382,0.000282289,82.824
3.52862e-005,0.000278475,0.000280382,82.776
3.24252e-005,0.000280382,0.000283243,83.376
3.24252e-005,0.000278475,0.000280382,83.328
3.05178e-005,0.000281336,0.000283243,83.796
3.05178e-005,0.000278475,0.000280382,83.736
3.24252e-005,0.000280382,0.000282289,83.358
3.24252e-005,0.000280382,0.000282289,83.358
3.14715e-005,0.000282289,0.000284197,83.538
3.05178e-005,0.00028515,0.000287058,83.88
3.05178e-005,0.000284197,0.000286104,83.718
3.24252e-005,0.00028515,0.000287058,83.352
3.24252e-005,0.000287058,0.000288965,83.514
3.33788e-005,0.00028515,0.000287058,83.202
3.24252e-005,0.000286104,0.000288012,83.496
3.52862e-005,0.000286104,0.000288012,82.842
3.71935e-005,0.00028515,0.000287058,82.548
3.62399e-005,0.000287058,0.000288965,82.728
3.52862e-005,0.00028515,0.000287058,82.944
3.81472e-005,0.000283243,0.00028515,82.23
3.52862e-005,0.000283243,0.00028515,82.776
3.62399e-005,0.000280382,0.000283243,82.554
3.71935e-005,0.000280382,0.000283243,82.308
3.33788e-005,0.000282289,0.000284197,83.142
3.24252e-005,0.000279428,0.000281336,83.208
3.14715e-005,0.000281336,0.000283243,83.526
3.05178e-005,0.000280382,0.000283243,83.646
3.33788e-005,0.000283243,0.00028515,83.172
3.24252e-005,0.000281336,0.000283243,83.394
3.14715e-005,0.000287058,0.000288965,83.646
3.24252e-005,0.00028515,0.000287058,83.352
3.24252e-005,0.000287058,0.000289919,83.4
3.81472e-005,0.00028515,0.000288012,82.302
3.33788e-005,0.00028515,0.000287058,83.202
3.81472e-005,0.000282289,0.00028515,82.212
3.91009e-005,0.000283243,0.00028515,82.098
3.71935e-005,0.000283243,0.000286104,82.512
3.62399e-005,0.000283243,0.00028515,82.626
3.05178e-005,0.000279428,0.000281336,83.616
3.05178e-005,0.000281336,0.000283243,83.796
3.14715e-005,0.000281336,0.000283243,83.526
3.24252e-005,0.00028515,0.000287058,83.466
3.14715e-005,0.000286104,0.000288012,83.628
