Frequency,XinV,YinV,RinV,outputphase
25,-7.15259e-007,-1.66894e-006,1.43052e-006,-108.432
25,-5.24524e-006,-2.14578e-006,5.48366e-006,-158.838
25,-4.29156e-006,0,4.05314e-006,180
24.5,-1.66894e-006,-6.19891e-006,5.96049e-006,-104.034
24.5,-1.66894e-006,9.53682e-007,1.90736e-006,145.008
24.5,1.43052e-006,7.15259e-007,1.66894e-006,26.562
24.0,5.00682e-006,1.43052e-006,5.48366e-006,17.88
24.0,-4.76841e-007,-9.53682e-007,7.15259e-007,-111.804
24.0,-2.86104e-006,-1.1921e-006,2.62262e-006,-159.444
23.5,1.43052e-006,7.15259e-006,7.15259e-006,78.18
23.5,-1.90736e-006,2.3842e-006,3.09946e-006,126.252
23.5,-4.7684e-006,0,4.52998e-006,180
23.0,-1.66894e-006,-1.1921e-006,1.90736e-006,-149.034
23.0,-2.3842e-006,-1.43052e-006,2.3842e-006,-148.392
23.0,-2.86104e-006,4.29156e-006,5.24524e-006,122.196
22.5,-3.33787e-006,-2.3842e-006,3.81473e-006,-145.008
22.5,4.29156e-006,-4.05314e-006,5.72208e-006,-40.428
22.5,-4.05314e-006,-2.14578e-006,4.29156e-006,-153.438
22.0,-2.3842e-007,-9.53682e-007,7.15259e-007,-101.31
22.0,-1.66894e-006,-2.3842e-006,2.62262e-006,-127.566
22.0,4.29156e-006,-2.62262e-006,5.00682e-006,-29.052
21.5,-1.66894e-006,2.62262e-006,2.86104e-006,119.358
21.5,-5.72208e-006,4.76841e-007,5.48366e-006,173.292
21.5,-4.05314e-006,-1.43052e-006,4.05314e-006,-161.568
21.0,-4.05314e-006,-1.66894e-006,4.29156e-006,-159.444
21.0,-6.19891e-006,2.3842e-007,5.96049e-006,176.82
21.0,-9.05996e-006,-1.90736e-006,9.05996e-006,-168.486
20.5,-9.5368e-006,-7.39101e-006,1.16826e-005,-142.968
20.5,-4.05314e-006,-5.72208e-006,6.91417e-006,-125.22
20.5,-4.52998e-006,-5.72208e-006,7.15259e-006,-129.288
20.0,4.76841e-007,-2.62262e-006,2.62262e-006,-75.066
20.0,0,3.57629e-006,3.57629e-006,90
20.0,-4.52998e-006,-5.72208e-006,7.15259e-006,-127.404
19.5,-1.1921e-006,-6.43733e-006,6.19891e-006,-98.97
19.5,9.53682e-007,-3.33787e-006,3.33787e-006,-70.71
19.5,1.43052e-006,-5.72208e-006,5.48366e-006,-74.748
19.0,8.10629e-006,-1.90736e-006,8.10629e-006,-12.654
19.0,-4.7684e-006,-2.3842e-007,4.52998e-006,-177.954
19.0,-2.86104e-006,4.76841e-007,2.62262e-006,169.992
18.5,6.43733e-006,-2.86104e-006,7.15259e-006,-21.804
18.5,-1.1921e-006,-4.05314e-006,3.81473e-006,-106.926
18.5,-4.7684e-006,2.62262e-006,5.24524e-006,150.252
18.0,-3.57629e-006,-4.29156e-006,5.48366e-006,-130.032
18.0,1.90736e-006,1.90736e-006,2.62262e-006,45
18.0,7.15259e-007,-5.72208e-006,5.48366e-006,-81.636
17.5,-7.15259e-007,-7.15259e-007,7.15259e-007,-126.87
17.5,-1.1921e-006,1.1921e-006,1.66894e-006,131.184
17.5,7.15259e-007,-1.66894e-006,1.43052e-006,-60.948
17.0,-1.90736e-006,-3.57629e-006,3.81473e-006,-117.642
17.0,9.53682e-007,-1.90736e-006,2.14578e-006,-61.392
17.0,9.53682e-007,-1.66894e-006,1.66894e-006,-52.122
16.5,4.7684e-006,4.52998e-006,6.43733e-006,43.998
16.5,7.15259e-007,-3.81473e-006,3.81473e-006,-77.196
16.5,-1.90736e-006,1.1921e-006,2.14578e-006,143.976
16.0,-1.66894e-006,-4.76841e-007,1.43052e-006,-167.472
16.0,-1.66894e-006,-4.76841e-007,1.43052e-006,-167.472
16.0,-5.00682e-006,-7.15259e-007,4.7684e-006,-172.146
15.5,3.33787e-006,9.77522e-006,1.04905e-005,70.71
15.5,4.7684e-006,3.81473e-006,5.96049e-006,38.418
15.5,1.90736e-006,-2.3842e-007,1.90736e-006,-4.764
