XinV,YinV,RinV,outputphase
6.91419e-005,0.000551943,0.000556234,82.86
6.8665e-005,0.000551943,0.000556234,82.896
7.00955e-005,0.000551466,0.000555757,82.752
7.22413e-005,0.000550035,0.000554565,82.512
7.17645e-005,0.000545267,0.000550035,82.5
6.91419e-005,0.000545505,0.000549797,82.758
6.84266e-005,0.000547413,0.000551704,82.866
6.62808e-005,0.000549797,0.00055385,83.106
6.46119e-005,0.000550751,0.000554565,83.292
6.74729e-005,0.000549559,0.000553612,82.98
6.91419e-005,0.000550274,0.000554565,82.836
7.08108e-005,0.000551466,0.000555996,82.68
7.3195e-005,0.000551943,0.00055695,82.434
7.46255e-005,0.000549082,0.000554089,82.26
7.34334e-005,0.000547413,0.00055242,82.338
7.17645e-005,0.000544075,0.000548605,82.482
6.79498e-005,0.000543598,0.00054789,82.854
6.53272e-005,0.000546936,0.000550751,83.172
6.24661e-005,0.000551466,0.000554804,83.514
6.27046e-005,0.000554327,0.000557903,83.532
6.53272e-005,0.000554804,0.000558618,83.268
6.93803e-005,0.000552896,0.000557426,82.836
7.05724e-005,0.000550274,0.000554804,82.686
7.24797e-005,0.000549082,0.000554089,82.482
7.58176e-005,0.000545267,0.000550512,82.086
7.12876e-005,0.000543598,0.000548366,82.524
6.34198e-005,0.000542168,0.000545744,83.322
6.22277e-005,0.00054479,0.000548128,83.472
6.34198e-005,0.000548605,0.000552181,83.4
6.48503e-005,0.000555757,0.000559572,83.334
7.24797e-005,0.000560287,0.000564817,82.608
7.79633e-005,0.000554565,0.000560287,81.996
8.03475e-005,0.000550989,0.00055695,81.69
7.58176e-005,0.000547413,0.000552658,82.098
7.17645e-005,0.000543598,0.000548366,82.458
6.74729e-005,0.000541452,0.000545744,82.878
6.41351e-005,0.000544313,0.000548128,83.28
6.15125e-005,0.000551704,0.000555281,83.622
6.65192e-005,0.00055695,0.000560764,83.172
6.98571e-005,0.000557426,0.000561718,82.842
7.58176e-005,0.00055385,0.000559095,82.188
7.72481e-005,0.000549797,0.000555042,81.996
7.46255e-005,0.00054789,0.000552896,82.242
6.8665e-005,0.000545029,0.00054932,82.806
6.36582e-005,0.000546698,0.000550274,83.34
6.53272e-005,0.000549797,0.000553612,83.208
6.69961e-005,0.000555042,0.000559095,83.1
7.08108e-005,0.000555281,0.000559572,82.716
7.43871e-005,0.000554565,0.000559572,82.35
7.46255e-005,0.000550751,0.000555757,82.266
7.3195e-005,0.000545744,0.000550751,82.35
