Frequency,XinV,YinV,RinV,outputphase
0.5,1.12057e-005,0.0002687,0.000268938,87.588
0.5,1.14442e-005,0.000267746,0.000267984,87.504
0.5,1.40668e-005,0.0002687,0.000268938,86.982
0.5,1.76431e-005,0.000267269,0.000267984,86.22
0.5,2.07425e-005,0.000262978,0.000263931,85.476
0.5,2.12194e-005,0.000257732,0.000258448,85.272
0.5,1.85968e-005,0.000254871,0.000255587,85.812
0.5,1.43052e-005,0.00025511,0.000255348,86.784
0.5,1.02521e-005,0.000257971,0.000257971,87.708
0.5,9.29838e-006,0.000262978,0.000263216,87.972
0.5,1.23978e-005,0.0002656,0.000266077,87.306
0.5,1.69278e-005,0.000266792,0.000267269,86.358
0.5,2.00273e-005,0.000265123,0.000265839,85.65
0.5,2.0981e-005,0.000262262,0.000263216,85.428
0.5,1.9312e-005,0.000257732,0.000258448,85.674
0.5,1.54973e-005,0.000256779,0.000257256,86.544
0.5,1.04905e-005,0.000258209,0.000258448,87.636
0.5,9.05996e-006,0.000261309,0.000261309,87.99
0.5,1.09673e-005,0.000265362,0.0002656,87.63
0.5,1.43052e-005,0.000266792,0.000267269,86.928
0.5,1.59742e-005,0.000263454,0.000263931,86.49
0.5,2.05041e-005,0.000260593,0.000261547,85.47
0.5,1.95504e-005,0.000256779,0.000257732,85.626
0.5,1.59742e-005,0.000254633,0.00025511,86.406
0.5,1.1921e-005,0.000256063,0.000256302,87.318
0.5,1.04905e-005,0.000258448,0.000258448,87.672
0.5,9.77522e-006,0.000257971,0.000258209,87.822
0.5,1.31131e-005,0.000263931,0.00026417,87.108
0.5,1.81199e-005,0.000266315,0.000267031,86.064
0.5,2.14578e-005,0.000263454,0.000264408,85.338
0.5,2.24115e-005,0.000258924,0.000259878,85.032
0.5,1.97889e-005,0.000254871,0.000255587,85.554
0.5,1.4782e-005,0.000253679,0.000254156,86.652
0.5,1.07289e-005,0.000256063,0.000256302,87.576
0.5,9.5368e-006,0.000260832,0.00026107,87.882
0.5,1.04905e-005,0.000265362,0.0002656,87.702
0.5,1.38283e-005,0.000267984,0.000268223,87.048
0.5,1.85968e-005,0.000267269,0.000267984,85.968
0.5,2.26499e-005,0.000261785,0.000262978,85.056
0.5,2.26499e-005,0.000257732,0.000258686,84.936
0.5,1.81199e-005,0.00025654,0.000257256,85.95
0.5,1.31131e-005,0.000255587,0.000256063,87.018
0.5,1.04905e-005,0.000257017,0.000257256,87.66
0.5,9.29838e-006,0.00026107,0.000261309,87.918
0.5,1.12057e-005,0.000264646,0.000264885,87.552
0.5,1.38283e-005,0.000267031,0.000267269,87.036
0.5,1.76431e-005,0.000266792,0.000267508,86.214
0.5,1.97889e-005,0.000263216,0.000263931,85.656
0.5,1.90736e-005,0.00025964,0.000260117,85.776
0.5,1.6451e-005,0.000256302,0.000256779,86.28
0.5,1.07289e-005,0.000256779,0.000256779,87.588
0.5,7.62945e-006,0.000259163,0.000259401,88.272
0.5,6.67575e-006,0.000263454,0.000263693,88.518
0.5,8.34471e-006,0.000268461,0.000268461,88.188
0.5,1.33515e-005,0.000269415,0.000269892,87.132
0.5,1.76431e-005,0.000266792,0.000267269,86.178
0.5,2.02657e-005,0.000262978,0.000263693,85.578
0.5,1.95504e-005,0.000258924,0.00025964,85.662
0.5,1.69278e-005,0.00025654,0.000257017,86.208
0.5,1.21594e-005,0.000256302,0.00025654,87.246
0.5,9.77522e-006,0.000259401,0.00025964,87.792
0.5,8.58313e-006,0.000263454,0.000263693,88.116
0.5,1.16826e-005,0.000266792,0.000267269,87.462
0.5,1.66894e-005,0.000267746,0.000268223,86.406
0.5,2.0981e-005,0.000266077,0.000266792,85.488
0.5,2.26499e-005,0.000261785,0.000262739,85.014
0.5,2.0981e-005,0.000256779,0.000257494,85.29
0.5,1.66894e-005,0.000253918,0.000254394,86.208
0.5,1.26362e-005,0.000253918,0.000254394,87.15
0.5,9.29838e-006,0.000257256,0.000257494,87.924
0.5,8.10629e-006,0.00026417,0.000264408,88.23
0.5,1.14442e-005,0.000267984,0.000268461,87.51
0.5,1.69278e-005,0.000268461,0.000268938,86.382
0.5,1.97889e-005,0.000266315,0.000266792,85.704
0.5,2.16962e-005,0.000260593,0.000261309,85.212
0.5,2.12194e-005,0.000256779,0.000257494,85.254
0.5,1.85968e-005,0.000253679,0.000254394,85.794
0.5,1.38283e-005,0.00025511,0.000255348,86.898
0.5,9.29838e-006,0.000258448,0.000258686,87.936
0.5,8.10629e-006,0.000263454,0.000263454,88.224
0.5,1.07289e-005,0.000266792,0.000266792,87.678
0.5,1.54973e-005,0.000267984,0.000268461,86.688
