Frequency,XinV,YinV,RinV,outputphase
0.5,-2.00273e-005,0.000154496,0.000156404,97.092
0.5,-2.47956e-005,0.000150681,0.000152589,99.012
0.5,-1.90736e-005,0.000143052,0.000144006,97.422
0.5,-1.71663e-005,0.000148774,0.000149728,96.366
0.5,-2.47956e-005,0.000148774,0.000150681,99.132
0.5,-1.90736e-005,0.000144006,0.000145913,97.35
0.5,-2.00273e-005,0.000151635,0.000152589,97.248
0.5,-2.57493e-005,0.000149728,0.000151635,99.588
0.5,-2.0981e-005,0.000144959,0.000145913,98.094
0.5,-2.19346e-005,0.000149728,0.000151635,98.058
0.5,-2.86103e-005,0.000145913,0.000148774,100.806
0.5,-2.00273e-005,0.000143052,0.000144959,97.65
0.5,-2.0981e-005,0.000150681,0.000152589,97.776
0.5,-2.47956e-005,0.000143052,0.000145913,99.462
0.5,-1.81199e-005,0.000145913,0.00014782,96.738
0.5,-2.28883e-005,0.000153542,0.000154496,98.376
0.5,-2.76567e-005,0.000144959,0.00014782,100.65
0.5,-1.81199e-005,0.000145913,0.000146867,96.774
0.5,-1.90736e-005,0.000153542,0.000154496,96.912
0.5,-2.00273e-005,0.00014782,0.000149728,97.41
0.5,-1.14442e-005,0.000150681,0.000151635,94.032
0.5,-1.81199e-005,0.000157357,0.000158311,96.258
0.5,-1.81199e-005,0.00014782,0.000148774,96.936
0.5,-1.52589e-005,0.00014782,0.000148774,95.634
0.5,-2.47956e-005,0.000149728,0.000152589,99.294
0.5,-2.47956e-005,0.000143052,0.000145913,99.462
0.5,-1.81199e-005,0.000148774,0.000149728,96.624
0.5,-2.28883e-005,0.000151635,0.000152589,98.238
0.5,-2.19346e-005,0.000144006,0.000145913,98.388
0.5,-1.71663e-005,0.000148774,0.000149728,96.366
0.5,-2.3842e-005,0.000150681,0.000152589,98.766
0.5,-2.19346e-005,0.000144006,0.000145913,98.388
0.5,-2.00273e-005,0.000149728,0.000150681,97.596
0.5,-2.57493e-005,0.00014782,0.000149728,99.714
0.5,-1.81199e-005,0.000144006,0.000145913,97.092
0.5,-1.71663e-005,0.000149728,0.000150681,96.312
0.5,-2.57493e-005,0.000146867,0.000148774,99.756
0.5,-2.0981e-005,0.000144006,0.000145913,98.13
0.5,-1.90736e-005,0.000151635,0.000152589,97.002
0.5,-2.47956e-005,0.000146867,0.000148774,99.252
0.5,-1.81199e-005,0.000144959,0.000145913,97.062
0.5,-1.90736e-005,0.000154496,0.000156404,96.852
0.5,-2.3842e-005,0.00014782,0.000149728,98.958
0.5,-1.90736e-005,0.000145913,0.000146867,97.284
0.5,-2.00273e-005,0.000152589,0.000153542,97.464
0.5,-2.6703e-005,0.000144006,0.000145913,100.188
0.5,-1.62126e-005,0.000144959,0.000145913,96.024
0.5,-2.0981e-005,0.000154496,0.00015545,97.614
0.5,-2.47956e-005,0.00014782,0.000149728,99.42
0.5,-1.62126e-005,0.00014782,0.000148774,95.886
0.5,-2.0981e-005,0.000153542,0.000154496,97.644
0.5,-2.6703e-005,0.000142098,0.000144959,100.59
0.5,-1.90736e-005,0.000144959,0.000145913,97.32
0.5,-2.47956e-005,0.000148774,0.000150681,99.378
0.5,-2.57493e-005,0.000143052,0.000145913,99.978
0.5,-1.81199e-005,0.000146867,0.00014782,96.708
0.5,-2.28883e-005,0.000149728,0.000151635,98.592
0.5,-2.28883e-005,0.000144006,0.000145913,98.646
0.5,-1.62126e-005,0.000149728,0.000150681,96.06
0.5,-2.28883e-005,0.000153542,0.000154496,98.13
0.5,-2.28883e-005,0.000146867,0.00014782,98.496
0.5,-1.71663e-005,0.000148774,0.000149728,96.366
0.5,-2.6703e-005,0.000149728,0.000152589,100.038
0.5,-2.57493e-005,0.000142098,0.000144006,100.068
0.5,-1.90736e-005,0.00014782,0.000148774,97.188
0.5,-2.47956e-005,0.000148774,0.000150681,99.378
0.5,-2.28883e-005,0.000144006,0.000145913,98.646
0.5,-2.00273e-005,0.000149728,0.000151635,97.314
0.5,-2.6703e-005,0.000150681,0.000152589,99.75
0.5,-2.28883e-005,0.000143052,0.000145913,98.946
0.5,-1.90736e-005,0.000149728,0.000150681,97.092
0.5,-2.47956e-005,0.00014782,0.000149728,99.42
0.5,-2.19346e-005,0.000143052,0.000144959,98.43
0.5,-2.00273e-005,0.000152589,0.000154496,97.434
0.5,-2.6703e-005,0.000151635,0.000153542,99.708
0.5,-1.90736e-005,0.000144959,0.000145913,97.32
0.5,-1.71663e-005,0.000154496,0.000154496,96.15
0.5,-2.47956e-005,0.000152589,0.000154496,99.18
0.5,-1.81199e-005,0.000149728,0.000150681,96.564
0.5,-1.81199e-005,0.000159265,0.000159265,96.21
0.5,-2.6703e-005,0.000152589,0.000154496,99.624
0.5,-2.0981e-005,0.00014782,0.000148774,97.95
0.5,-2.0981e-005,0.000152589,0.000154496,97.674
0.5,-2.57493e-005,0.00014782,0.000149728,99.714
0.5,-1.90736e-005,0.000144959,0.000145913,97.32
