Frequency,XinV,YinV,RinV,outputphase
0.5,3.91009e-005,0.000283243,0.000286104,82.116
0.5,3.91009e-005,0.00026417,0.000267031,81.546
0.5,3.24252e-005,0.000260355,0.000262262,82.71
0.5,3.24252e-005,0.000268938,0.000270845,82.944
0.5,3.71935e-005,0.000276567,0.000279428,82.332
0.5,2.47956e-005,0.000268938,0.000269892,84.624
0.5,2.57493e-005,0.000267984,0.000268938,84.318
0.5,2.76567e-005,0.000269892,0.000271799,84.096
0.5,1.23978e-005,0.000269892,0.000269892,87.312
0.5,2.00273e-005,0.000275614,0.000276567,85.716
0.5,3.05178e-005,0.000278475,0.000280382,83.718
0.5,3.52862e-005,0.000268938,0.000270845,82.524
0.5,3.52862e-005,0.000268938,0.000270845,82.524
0.5,3.14715e-005,0.000271799,0.000273706,83.304
0.5,2.3842e-005,0.000284197,0.00028515,85.044
0.5,2.86103e-005,0.000286104,0.000287058,84.156
0.5,3.62399e-005,0.000283243,0.00028515,82.626
0.5,3.91009e-005,0.000278475,0.000280382,81.834
0.5,3.05178e-005,0.000278475,0.000280382,83.736
0.5,3.71935e-005,0.000281336,0.000284197,82.458
0.5,3.62399e-005,0.000283243,0.00028515,82.626
0.5,5.3406e-005,0.000289919,0.000294687,79.476
0.5,5.43597e-005,0.000281336,0.000287058,79.026
0.5,4.86376e-005,0.000276567,0.000280382,79.89
0.5,3.24252e-005,0.000269892,0.000271799,82.98
0.5,3.05178e-005,0.000272753,0.00027466,83.598
0.5,2.9564e-005,0.000278475,0.000279428,83.856
0.5,3.24252e-005,0.000282289,0.000284197,83.406
0.5,3.71935e-005,0.000283243,0.00028515,82.494
0.5,3.71935e-005,0.000280382,0.000283243,82.44
0.5,3.24252e-005,0.000278475,0.000280382,83.178
0.5,2.19346e-005,0.000258448,0.000259401,85.002
0.5,2.3842e-005,0.000267031,0.000267984,84.726
0.5,2.9564e-005,0.000275614,0.000276567,83.796
0.5,3.14715e-005,0.00028515,0.000287058,83.598
0.5,4.29156e-005,0.000287058,0.000289919,81.42
0.5,4.19619e-005,0.000278475,0.000282289,81.318
0.5,4.19619e-005,0.000276567,0.000279428,81.234
0.5,4.29156e-005,0.000287058,0.000290873,81.444
0.5,3.91009e-005,0.000288012,0.000290873,82.11
0.5,4.10082e-005,0.000284197,0.000287058,81.738
0.5,4.00546e-005,0.000278475,0.000281336,81.714
0.5,3.81472e-005,0.000269892,0.000271799,81.852
0.5,3.33788e-005,0.000267984,0.000269892,82.77
0.5,3.05178e-005,0.00027466,0.000276567,83.508
0.5,2.47956e-005,0.000283243,0.000284197,84.888
0.5,2.9564e-005,0.000283243,0.000284197,83.958
0.5,3.14715e-005,0.000283243,0.00028515,83.556
0.5,3.14715e-005,0.000291826,0.000293734,83.748
0.5,3.24252e-005,0.000283243,0.00028515,83.436
0.5,3.71935e-005,0.000280382,0.000283243,82.44
0.5,2.28883e-005,0.000283243,0.000283243,85.29
0.5,3.24252e-005,0.000287058,0.000288965,83.514
0.5,3.91009e-005,0.000284197,0.000287058,82.134
0.5,3.43325e-005,0.000268938,0.000270845,82.668
0.5,3.05178e-005,0.000271799,0.000273706,83.43
0.5,3.05178e-005,0.000278475,0.000280382,83.586
0.5,4.00546e-005,0.000278475,0.000281336,81.714
0.5,4.19619e-005,0.000271799,0.000275614,81.108
0.5,4.19619e-005,0.000269892,0.000273706,81.042
0.5,3.71935e-005,0.000269892,0.000271799,81.99
0.5,3.24252e-005,0.000272753,0.00027466,83.184
0.5,2.3842e-005,0.000280382,0.000282289,84.99
0.5,2.19346e-005,0.000288965,0.000289919,85.518
0.5,4.29156e-005,0.000287058,0.000289919,81.42
0.5,4.67303e-005,0.00027466,0.000278475,80.244
0.5,4.19619e-005,0.000269892,0.000272753,81.162
0.5,2.57493e-005,0.000261309,0.000263216,84.33
0.5,2.57493e-005,0.000272753,0.000273706,84.564
0.5,3.14715e-005,0.000280382,0.000283243,83.508
0.5,3.71935e-005,0.000281336,0.000284197,82.326
0.5,3.91009e-005,0.000278475,0.000280382,81.966
0.5,3.62399e-005,0.000273706,0.000276567,82.38
0.5,3.52862e-005,0.000277521,0.000279428,82.62
0.5,2.0981e-005,0.000289919,0.000290873,85.8
0.5,2.9564e-005,0.000291826,0.000293734,84.15
0.5,4.00546e-005,0.000289919,0.000291826,82.02
0.5,4.00546e-005,0.000280382,0.000283243,81.774
0.5,3.52862e-005,0.000276567,0.000278475,82.584
0.5,3.24252e-005,0.000276567,0.000278475,83.268
0.5,1.81199e-005,0.000272753,0.000273706,86.094
0.5,2.3842e-005,0.000281336,0.000283243,85.134
0.5,3.24252e-005,0.000281336,0.000283243,83.394
0.5,2.9564e-005,0.000276567,0.000278475,83.826
0.5,3.05178e-005,0.000273706,0.000276567,83.49
0.5,2.9564e-005,0.000275614,0.000276567,83.796
0.5,3.14715e-005,0.000279428,0.000281336,83.478
0.5,5.24523e-005,0.000286104,0.000290873,79.458
0.5,6.10356e-005,0.000279428,0.000286104,77.646
0.5,5.9128e-005,0.000272753,0.000279428,77.622
0.5,3.24252e-005,0.000266077,0.000267984,83.016
0.5,2.19346e-005,0.000266077,0.000267031,85.284
0.5,2.28883e-005,0.000271799,0.000272753,85.11
0.5,3.24252e-005,0.000268938,0.000270845,83.082
0.5,4.38693e-005,0.000279428,0.000283243,80.934
0.5,4.38693e-005,0.000278475,0.000281336,81.03
0.5,3.91009e-005,0.000263216,0.000266077,81.36
0.5,3.33788e-005,0.000268938,0.000270845,82.806
0.5,3.24252e-005,0.000273706,0.000275614,83.202
0.5,3.62399e-005,0.000271799,0.00027466,82.338
0.5,3.81472e-005,0.000276567,0.000279428,82.062
0.5,4.19619e-005,0.000278475,0.000281336,81.426
0.5,3.91009e-005,0.000276567,0.000279428,81.93
0.5,3.33788e-005,0.000276567,0.000278475,82.992
0.5,3.14715e-005,0.000278475,0.000280382,83.466
