Frequency,XinV,YinV,RinV,outputphase
3.1,0.000214578,0.00172616,0.00173951,82.89
3.1,0.000214578,0.00172616,0.00173951,82.89
3.1,0.000214578,0.00172616,0.00173951,82.89
3.1,0.000214578,0.0017252,0.00173856,82.908
3.1,0.000214578,0.0017252,0.00173856,82.908
3.1,0.000213624,0.00172616,0.00173951,82.938
3.1,0.000213624,0.00172711,0.00174046,82.938
3.1,0.00021267,0.00172711,0.00174046,82.962
3.1,0.000213624,0.00172711,0.00174046,82.938
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.000213624,0.0017252,0.00173856,82.932
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.000213624,0.00172616,0.00173951,82.938
3.1,0.00021267,0.00172616,0.00173951,82.956
3.1,0.000211717,0.00172711,0.00174046,82.986
3.1,0.000211717,0.00172807,0.00174142,82.986
3.1,0.000211717,0.00172902,0.00174237,82.992
3.1,0.000211717,0.00172902,0.00174237,82.992
3.1,0.000211717,0.00172902,0.00174142,83.01
3.1,0.000210763,0.00172902,0.00174237,83.034
3.1,0.000210763,0.00172902,0.00174237,83.034
3.1,0.000210763,0.00172997,0.00174237,83.04
3.1,0.000210763,0.00172997,0.00174237,83.04
3.1,0.000211717,0.00172997,0.00174237,83.016
3.1,0.000211717,0.00173093,0.00174428,82.998
3.1,0.000211717,0.00173188,0.00174428,82.998
3.1,0.000211717,0.00173188,0.00174428,82.998
3.1,0.00021267,0.00173188,0.00174428,82.98
3.1,0.000211717,0.00173188,0.00174523,83.004
3.1,0.000211717,0.00173188,0.00174428,82.998
3.1,0.00021267,0.00173188,0.00174428,82.98
3.1,0.000213624,0.00173188,0.00174428,82.956
3.1,0.000214578,0.00173188,0.00174428,82.932
3.1,0.000214578,0.00173283,0.00174619,82.938
3.1,0.000214578,0.00173379,0.00174714,82.944
3.1,0.000214578,0.00173379,0.00174714,82.944
3.1,0.000214578,0.00173283,0.00174619,82.938
3.1,0.000214578,0.00173188,0.00174523,82.938
3.1,0.000214578,0.00173188,0.00174523,82.914
3.1,0.000215531,0.00173188,0.00174428,82.89
3.1,0.000215531,0.00173188,0.00174523,82.896
3.1,0.000216485,0.00173188,0.00174523,82.872
3.1,0.000216485,0.00173093,0.00174428,82.866
3.1,0.000216485,0.00173188,0.00174428,82.848
3.1,0.000216485,0.00173093,0.00174428,82.842
3.1,0.000216485,0.00173093,0.00174428,82.866
3.1,0.000216485,0.00172902,0.00174237,82.86
3.1,0.000217439,0.00172902,0.00174332,82.818
3.1,0.000217439,0.00172902,0.00174237,82.818
3.1,0.000217439,0.00172902,0.00174237,82.818
3.1,0.000216485,0.00172711,0.00174046,82.83
3.1,0.000216485,0.00172711,0.00174046,82.848
3.1,0.000215531,0.00172711,0.00174046,82.872
3.1,0.000216485,0.0017252,0.00173856,82.842
3.1,0.000215531,0.0017252,0.00173856,82.866
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.000213624,0.00172711,0.00174046,82.938
3.1,0.00021267,0.00172711,0.00174046,82.962
3.1,0.00021267,0.00172711,0.00174046,82.962
3.1,0.000211717,0.00172711,0.00174046,82.986
3.1,0.000211717,0.00172807,0.00174046,83.01
3.1,0.000211717,0.00172807,0.00174046,83.01
3.1,0.000210763,0.00172807,0.00174046,83.028
3.1,0.000210763,0.00172807,0.00174046,83.028
3.1,0.000210763,0.00172902,0.00174142,83.034
3.1,0.000210763,0.00172902,0.00174237,83.034
3.1,0.000210763,0.00172997,0.00174237,83.04
3.1,0.000210763,0.00172997,0.00174237,83.04
3.1,0.000210763,0.00173093,0.00174332,83.04
3.1,0.000210763,0.00173188,0.00174428,83.04
3.1,0.000211717,0.00173188,0.00174428,83.022
3.1,0.000211717,0.00173188,0.00174523,83.004
3.1,0.000211717,0.00173283,0.00174523,83.004
3.1,0.00021267,0.00173283,0.00174619,82.986
3.1,0.000213624,0.00173188,0.00174523,82.962
3.1,0.000214578,0.00173283,0.00174619,82.938
3.1,0.000214578,0.00173283,0.00174619,82.938
3.1,0.000214578,0.00173188,0.00174523,82.938
3.1,0.000214578,0.00173283,0.00174619,82.92
3.1,0.000215531,0.00173283,0.00174619,82.896
3.1,0.000214578,0.00173283,0.00174619,82.92
3.1,0.000215531,0.00173283,0.00174619,82.896
3.1,0.000216485,0.00173188,0.00174523,82.848
3.1,0.000216485,0.00173188,0.00174428,82.848
3.1,0.000216485,0.00173093,0.00174428,82.842
3.1,0.000217439,0.00172997,0.00174428,82.818
3.1,0.000216485,0.00172902,0.00174237,82.842
3.1,0.000217439,0.00172902,0.00174237,82.818
3.1,0.000217439,0.00172902,0.00174237,82.818
3.1,0.000216485,0.00172902,0.00174237,82.836
3.1,0.000216485,0.00172711,0.00174046,82.854
3.1,0.000216485,0.00172711,0.00174046,82.848
3.1,0.000216485,0.00172711,0.00174046,82.848
3.1,0.000215531,0.00172711,0.00174046,82.872
3.1,0.000214578,0.00172711,0.00174046,82.896
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.000213624,0.0017252,0.00173856,82.932
3.1,0.00021267,0.00172616,0.00173951,82.956
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00173951,83.004
3.1,0.000210763,0.00172807,0.00174046,83.028
3.1,0.000209809,0.00172807,0.00174046,83.052
3.1,0.000209809,0.00172902,0.00174142,83.052
3.1,0.000210763,0.00172902,0.00174237,83.034
3.1,0.000210763,0.00172997,0.00174237,83.04
3.1,0.000211717,0.00172997,0.00174237,83.016
3.1,0.000211717,0.00172997,0.00174237,83.016
3.1,0.000210763,0.00173093,0.00174332,83.04
3.1,0.000211717,0.00173093,0.00174332,83.016
3.1,0.000211717,0.00173093,0.00174332,83.016
3.1,0.000211717,0.00173188,0.00174428,83.022
3.1,0.00021267,0.00173188,0.00174523,82.98
3.1,0.00021267,0.00173188,0.00174523,82.98
3.1,0.00021267,0.00173188,0.00174523,82.98
3.1,0.000213624,0.00173188,0.00174523,82.962
3.1,0.000214578,0.00173188,0.00174523,82.938
3.1,0.000214578,0.00173188,0.00174523,82.914
3.1,0.000214578,0.00173188,0.00174523,82.914
3.1,0.000215531,0.00173188,0.00174428,82.89
3.1,0.000215531,0.00173188,0.00174428,82.89
3.1,0.000216485,0.00173188,0.00174428,82.872
3.1,0.000216485,0.00172997,0.00174332,82.866
3.1,0.000216485,0.00172997,0.00174332,82.866
3.1,0.000216485,0.00172902,0.00174237,82.86
3.1,0.000216485,0.00172902,0.00174237,82.836
3.1,0.000216485,0.00172807,0.00174142,82.836
3.1,0.000216485,0.00172807,0.00174142,82.854
3.1,0.000216485,0.00172807,0.00174142,82.854
3.1,0.000215531,0.00172807,0.00174142,82.878
3.1,0.000215531,0.00172711,0.00174046,82.878
3.1,0.000216485,0.00172711,0.00174046,82.854
3.1,0.000215531,0.00172711,0.00174046,82.878
3.1,0.000215531,0.00172711,0.00174046,82.872
3.1,0.000214578,0.00172711,0.00174046,82.896
3.1,0.000214578,0.00172616,0.00173951,82.89
3.1,0.000214578,0.00172616,0.00173951,82.914
3.1,0.00021267,0.00172711,0.00174046,82.962
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.00021267,0.00172711,0.00174046,82.962
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00174046,82.98
3.1,0.000211717,0.00172711,0.00174046,82.986
3.1,0.000211717,0.00172807,0.00174046,83.01
3.1,0.000210763,0.00172807,0.00174046,83.028
3.1,0.000211717,0.00172711,0.00174046,83.004
3.1,0.000211717,0.00172807,0.00174046,83.01
3.1,0.000211717,0.00172902,0.00174237,83.016
3.1,0.000211717,0.00172902,0.00174142,83.01
3.1,0.000210763,0.00172902,0.00174237,83.034
3.1,0.000210763,0.00172902,0.00174237,83.034
