Frequency,XinV,YinV,RinV,outputphase
0.5,-1.40668e-005,0.000144244,0.000144959,95.472
0.5,-1.62126e-005,0.000136138,0.000137092,96.702
0.5,-2.33651e-005,0.000132323,0.000134469,99.984
0.5,-3.21867e-005,0.000134469,0.000138284,103.452
0.5,-3.55246e-005,0.000138284,0.000142814,104.328
0.5,-3.88625e-005,0.000145198,0.000150205,104.898
0.5,-3.83856e-005,0.000154019,0.000158788,103.962
0.5,-3.09946e-005,0.000156404,0.000159265,101.148
0.5,-2.16962e-005,0.000157596,0.000159265,97.818
0.5,-1.43052e-005,0.000154496,0.000155211,95.232
0.5,-1.00136e-005,0.000148297,0.000148774,93.792
0.5,-1.14442e-005,0.000139476,0.000139953,94.638
0.5,-1.74047e-005,0.000132323,0.000133277,97.464
0.5,-2.14578e-005,0.000132323,0.000133992,99.156
0.5,-2.98024e-005,0.000130893,0.000134231,102.762
0.5,-3.50478e-005,0.000134231,0.000138761,104.604
0.5,-3.69551e-005,0.00014329,0.000148059,104.394
0.5,-3.52862e-005,0.000152112,0.000156165,102.996
0.5,-3.09946e-005,0.000155927,0.000159026,101.166
0.5,-2.31267e-005,0.00015688,0.000158549,98.334
0.5,-1.62126e-005,0.000152112,0.000153066,96.06
0.5,-9.77522e-006,0.000146867,0.000147105,93.762
0.5,-1.07289e-005,0.000141145,0.000141383,94.32
0.5,-1.66894e-005,0.000135423,0.000136376,97.014
0.5,-2.3842e-005,0.000132085,0.000134231,100.152
0.5,-3.12331e-005,0.000136138,0.000139714,102.876
0.5,-3.52862e-005,0.000141145,0.000145436,103.986
0.5,-3.52862e-005,0.000145198,0.000149489,103.602
0.5,-3.33788e-005,0.000151874,0.00015545,102.372
0.5,-2.69414e-005,0.000155927,0.000158311,99.75
0.5,-1.81199e-005,0.000157357,0.000158311,96.522
0.5,-1.23978e-005,0.000149251,0.000149728,94.722
0.5,-1.1921e-005,0.000140191,0.000140668,94.818
0.5,-1.4782e-005,0.000137807,0.000138761,96.066
0.5,-1.78815e-005,0.000133515,0.000134707,97.602
0.5,-2.43188e-005,0.000134469,0.000136615,100.188
0.5,-3.17099e-005,0.000138284,0.000141622,102.828
0.5,-3.40941e-005,0.000144006,0.000148059,103.272
