Frequency,XinV,YinV,RinV,outputphase
500,-0.000793461,0.000244142,0.00054932,120.258
500,0.000427248,-0.000305178,0.000427248,-82.878
500,-0.000488285,-0.00054932,0.00097657,154.44
500,-0.000305178,0.0,0.000183106,-130.914
500,-0.00067139,0.000244142,0.000244142,116.562
1000,-0.000122071,0.00067139,0.000366213,80.91
1000,-0.000244142,0.000793461,0.000854496,143.844
1000,-0.00115968,-0.000122071,0.000915531,-144.162
1000,-0.000488285,-0.000610355,0.000427248,-75.966
1000,6.10356e-05,-0.000915531,0.00109864,-64.44
1500,-0.000610355,0.00146485,0.00213625,179.268
1500,-0.00317384,-0.00170899,0.00256349,-143.43
1500,-0.00195314,-0.0027466,0.0027466,-88.152
1500,0.00115968,0.000854496,0.00225832,64.356
1500,0.00097657,0.00219728,0.00286867,52.542
2000,0.000488285,0.00195314,0.00170899,92.79
2000,0.000244142,0.000427248,0.000732426,93.18
2000,0.000427248,-0.000854496,0.00115968,15.252
2000,0.000854496,0.000793461,0.00158692,48.288
2000,0.00201418,0.00280763,0.00372316,59.286
2500,0.0,-0.00067139,0.000427248,-68.196
2500,0.000427248,-0.000366213,0.00054932,-99.462
2500,0.000244142,-0.000793461,0.00109864,-53.13
2500,0.000732426,-0.00097657,0.00177003,-8.532
2500,0.00219728,0.000366213,0.00115968,54.462
3000,-0.000122071,0.000366213,0.000488285,60.252
3000,-6.10356e-05,0.000793461,0.000854496,50.712
3000,0.00109864,0.00054932,0.00103761,50.442
3000,0.000183106,0.00067139,0.000488285,85.236
3000,-6.10356e-05,0.000305178,0.000183106,10.008
3500,0.000427248,0.000183106,0.000305178,0.0
3500,0.000366213,6.10356e-05,0.000427248,45.0
3500,0.000427248,0.000366213,0.000854496,41.424
3500,0.000183106,0.000183106,0.000244142,45.0
3500,0.000366213,0.0,0.000427248,-3.576
4000,0.000183106,0.000305178,0.000366213,78.69
4000,0.000244142,-6.10356e-05,0.000244142,26.562
4000,0.00054932,0.000366213,0.000610355,-8.532
4000,0.000610355,0.000183106,0.000793461,40.602
4000,0.000732426,0.00115968,0.00122071,77.124
4500,0.00067139,0.000427248,0.000854496,23.964
4500,0.000610355,-0.000183106,0.000854496,-29.478
4500,0.00067139,-0.000305178,0.000793461,-29.052
4500,6.10356e-05,-0.000427248,0.000305178,-75.966
4500,0.000427248,6.10356e-05,0.000732426,29.25
5000,0.000732426,-0.000488285,0.000793461,-51.342
5000,0.00054932,-0.000610355,0.000793461,-17.652
5000,0.000732426,-0.000427248,0.000793461,-23.202
5000,0.000305178,-0.000244142,0.000427248,-58.392
5000,0.000305178,-0.000366213,0.000427248,-48.366
5500,0.0,-0.000366213,0.000305178,-71.568
5500,0.0,-0.000488285,0.000427248,-77.004
5500,6.10356e-05,-0.000488285,0.000427248,-78.69
5500,-6.10356e-05,-0.00054932,0.000488285,-108.432
5500,-0.000183106,-0.000366213,0.000488285,-90.0
6000,0.000122071,-0.000244142,0.000122071,-101.31
6000,0.0,-0.000305178,0.000427248,-78.69
6000,0.0,-0.000305178,0.000183106,-130.602
6000,-0.000183106,-0.000427248,0.000366213,-84.804
6000,6.10356e-05,0.0,0.000183106,105.948
6500,-0.000122071,-0.000122071,0.000183106,-141.342
6500,-0.000305178,-0.000183106,0.000244142,-173.658
6500,-0.000244142,0.0,0.000122071,153.438
6500,-0.000122071,-0.000122071,0.000244142,180.0
6500,-0.000427248,0.000122071,0.000427248,167.904
7000,-0.000122071,-0.000244142,0.000305178,-71.568
7000,-6.10356e-05,0.0,0.000122071,-156.798
7000,-0.000427248,-0.000244142,0.000427248,-157.38
7000,-0.000488285,0.0,0.000427248,-175.914
7000,-0.000427248,-0.000305178,0.000488285,-155.556
7500,-0.000183106,-0.000122071,0.000244142,174.288
7500,-0.000427248,0.000183106,0.000366213,135.0
7500,-0.000244142,0.000305178,0.000366213,111.804
7500,-0.000183106,0.000488285,0.000488285,100.62
7500,-0.000122071,0.000244142,0.000244142,98.13
8000,0.000122071,0.000122071,0.000122071,75.966
8000,-0.000183106,0.000122071,0.000244142,105.948
8000,6.10356e-05,0.000366213,0.000488285,74.052
8000,0.0,0.000122071,6.10356e-05,45.0
8000,0.000122071,0.000122071,0.000305178,37.878
8500,0.000122071,0.000122071,0.000122071,56.31
8500,-6.10356e-05,-6.10356e-05,6.10356e-05,135.0
8500,-0.000122071,0.000244142,0.000366213,75.966
8500,0.0,0.000366213,0.000305178,63.438
8500,0.000183106,0.000244142,0.000427248,51.342
9000,0.000183106,0.0,0.000183106,8.13
9000,0.000122071,-0.000122071,0.000122071,0.0
9000,0.000122071,-6.10356e-05,0.000244142,-45.0
9000,0.0,-0.000244142,0.000122071,0.0
9000,-0.000183106,6.10356e-05,0.000183106,110.556
9500,0.0,0.0,0.0,90.0
9500,6.10356e-05,0.000122071,0.000183106,26.562
9500,0.0,6.10356e-05,0.000122071,168.69
9500,-0.000244142,-6.10356e-05,6.10356e-05,-56.31
9500,0.000183106,-0.000183106,0.000183106,-8.13
10000,0.000366213,0.000122071,0.000427248,12.996
10000,0.000305178,0.0,0.000244142,9.462
10000,0.0,-6.10356e-05,6.10356e-05,-75.966
10000,0.0,0.0,0.000122071,99.462
10000,6.10356e-05,0.0,0.000122071,9.462
10500,0.000366213,6.10356e-05,0.000305178,0.0
10500,0.000244142,-0.000183106,0.000183106,0.0
10500,6.10356e-05,-0.000122071,0.000122071,-56.31
10500,6.10356e-05,-0.000122071,0.000122071,-126.87
10500,0.0,0.0,6.10356e-05,45.0
11000,0.000183106,0.000122071,0.000183106,30.966
11000,0.000122071,6.10356e-05,0.000183106,54.462
11000,0.000183106,0.000366213,0.000427248,68.964
11000,6.10356e-05,0.000183106,0.000122071,90.0
11000,6.10356e-05,0.000183106,0.000183106,90.0
11500,0.000122071,0.000183106,0.000183106,54.462
11500,0.000122071,0.000122071,0.000183106,26.562
11500,6.10356e-05,0.0,0.0,-135.0
11500,6.10356e-05,0.0,0.000183106,33.69
11500,0.000244142,0.000183106,0.000183106,51.342
12000,0.0,0.0,0.000122071,0.0
12000,6.10356e-05,6.10356e-05,0.0,153.438
12000,-0.000122071,0.0,6.10356e-05,180.0
12000,-0.000183106,0.0,6.10356e-05,14.034
12000,0.000244142,-0.000122071,0.000244142,16.698
12500,6.10356e-05,-0.000244142,0.000183106,-80.538
12500,6.10356e-05,-0.000244142,0.000366213,-33.69
12500,0.000183106,-0.000183106,0.000244142,-26.562
12500,0.000366213,-6.10356e-05,0.000366213,-20.556
12500,6.10356e-05,-0.000122071,0.000122071,-18.432
13000,0.000122071,6.10356e-05,0.000122071,21.804
13000,0.000183106,0.000122071,0.000366213,34.992
13000,0.000305178,0.000244142,0.000427248,51.342
13000,0.000183106,0.000366213,0.000427248,48.366
13000,0.000244142,0.000183106,0.000366213,32.004
13500,0.000183106,0.0,0.000122071,90.0
13500,-6.10356e-05,0.000122071,0.000122071,71.568
13500,6.10356e-05,0.000122071,0.000183106,49.398
13500,0.000183106,0.0,0.000244142,21.804
13500,0.000366213,0.000122071,0.000305178,11.31
14000,0.000183106,6.10356e-05,0.000183106,33.69
